# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	246674
#@/user_id	b6ca52f1-d1be-4cc2-9d07-aa8b3716d1d6
a 	吖	c=1 d=3.14571e-306 t=246674
a 	啊	c=1006 d=2.05722 t=246674
a 	阿	c=1 d=1 t=209150
a a wan 	啊阿萬	c=1 d=1 t=171684
a ba 	阿巴	c=2 d=1.99501 t=164824
a bu shi 	啊不是	c=1 d=1 t=236230
a gen ting 	阿根廷	c=1 d=7.40021e-194 t=246674
a ha 	啊哈	c=5 d=5.21906e-86 t=246674
a li 	阿里	c=10 d=0.0678809 t=246674
a li yun 	阿里暈	c=1 d=2.48648e-304 t=246674
a li yun 	阿里雲	c=64 d=0.166105 t=246674
a mei 	阿美	c=1 d=3.56938e-175 t=246674
a seng qi 	阿僧祇	c=1 d=7.60515e-280 t=246674
a wan 	阿萬	c=0 d=0.1 t=171683
a zhe 	啊這	c=4 d=4.93237e-39 t=246674
ai 	哎	c=1 d=1 t=141898
ai 	唉	c=35 d=0.1411 t=246674
ai 	愛	c=3 d=1.75186e-08 t=246674
ai 	艾	c=2 d=4.65991e-282 t=246674
ai chi 	愛喫	c=2 d=6.68525e-87 t=246674
ai er 	艾爾	c=0 d=0.1 t=215700
ai er deng 	艾爾登	c=1 d=1 t=215701
ai er lan 	愛爾蘭	c=56 d=4.30672e-05 t=246674
ai er lan mu chang di 	愛爾蘭木長笛	c=1 d=1 t=217496
ai ge 	挨個	c=3 d=4.17105e-96 t=246674
ai guo 	愛國	c=2 d=1.8434e-217 t=246674
ai hao 	愛好	c=13 d=5.95331e-17 t=246674
ai ni 	愛你	c=2 d=1.92312 t=185410
ai qi cha 	愛企查	c=4 d=1.3096 t=238327
ai qing 	愛情	c=1 d=2.2669e-187 t=246674
ai ren 	愛人	c=1 d=2.35322e-68 t=246674
ai si 	艾思	c=1 d=4.03063e-193 t=246674
ai si kao 	愛思考	c=1 d=1 t=193963
ai te 	艾特	c=5 d=4.76956e-144 t=246674
ai wei er 	艾薇兒	c=1 d=1 t=146988
ai xin 	愛心	c=7 d=4.75401e-135 t=246674
ai ya 	哎呀	c=8 d=4.97754e-58 t=246674
an 	安	c=32 d=0.0284388 t=246674
